date,average_sentiment,min_sentiment,max_sentiment,total_runs,total_posts
2025-09-14,7.9667,4.9476,12.0024,48,33689
2025-09-15,8.8987,4.5972,13.8743,48,34640
2025-09-16,8.7349,6.0022,12.3010,48,34226
2025-09-17,9.4063,3.6477,13.4286,48,34932
2025-09-18,6.8029,-1.3265,11.0894,48,32411
2025-09-19,9.4997,5.5820,14.2337,48,32680
2025-09-20,9.3420,5.0687,12.9737,48,34369
2025-09-21,9.7253,6.0089,14.0400,48,37354
2025-09-22,9.4017,-2.2902,13.6012,48,34847
2025-09-23,9.6937,4.3977,13.8963,48,32855
2025-09-24,9.2561,5.4432,13.4738,44,32782
2025-09-25,9.2637,6.0322,13.6171,48,34527
2025-09-26,9.6398,5.3382,13.8473,48,33509
2025-09-27,9.7066,5.7276,15.2575,48,35081
2025-09-28,9.4241,5.0069,13.1384,48,34746
2025-09-29,9.4520,5.5837,14.1155,48,34417
2025-09-30,8.2569,4.3699,13.3089,48,34140
2025-10-01,9.0342,4.9675,12.4667,48,32776
2025-10-02,9.1807,5.2146,12.3124,48,35050
2025-10-03,9.0645,4.6937,13.9174,48,35042
2025-10-04,9.7151,5.2573,15.6994,48,34675
2025-10-05,9.3818,5.4538,13.6621,48,35169
2025-10-06,9.3176,4.6937,12.4772,48,36199
2025-10-07,9.1479,5.7193,13.0210,44,32783
2025-10-08,9.9326,4.3832,16.0039,48,34869
2025-10-09,10.4282,6.4105,16.4720,48,36863
2025-10-10,11.5746,6.0357,16.7095,48,35304
2025-10-11,10.7375,6.4998,16.3782,48,36789
2025-10-12,11.0276,5.6833,16.4761,48,36837
2025-10-13,11.0797,8.2279,16.1621,48,36468
2025-10-14,11.1267,5.0015,16.4805,48,36895
2025-10-15,10.4515,5.5910,17.7880,47,33916
2025-10-16,10.6056,6.5582,17.2927,48,35627
2025-10-17,10.4456,6.2946,14.9438,48,34011
2025-10-18,11.1881,7.0040,14.7038,48,36230
2025-10-19,10.2618,5.5576,15.4685,48,37000
2025-10-20,9.5288,6.1040,15.9182,48,36769
2025-10-21,9.1331,3.5263,13.5339,48,34933
2025-10-22,8.7006,3.5281,12.0687,47,35044
2025-10-23,8.9472,5.6292,14.0400,48,33175
2025-10-24,9.9087,5.2342,15.2982,48,34946
2025-10-25,11.1302,7.4898,14.6515,48,35203
2025-10-26,10.8684,7.0783,15.9371,48,35877
2025-10-27,10.5515,6.0791,13.4332,48,36103
2025-10-28,9.7567,3.7443,14.6189,48,33818
2025-10-29,9.9788,6.1450,13.8459,48,35471
2025-10-30,9.7372,5.4752,13.4963,48,35305
2025-10-31,10.9309,7.0883,16.4779,48,35064
2025-11-01,11.2578,0.0000,22.3144,29,20664
2025-11-02,10.8957,9.4822,12.4852,23,196264
2025-11-03,9.8986,7.1826,12.0562,32,335892
2025-11-04,9.6523,4.0640,12.4704,48,422249
2025-11-05,12.1865,7.0170,15.3992,48,396332
2025-11-06,11.3332,9.2298,14.6390,46,376218
2025-11-07,11.0119,8.6163,13.1601,48,401249
2025-11-08,11.2281,3.9664,14.1924,48,403028
2025-11-09,11.3537,8.2579,14.4858,48,431096
2025-11-10,9.1395,4.4035,12.5292,48,421297
2025-11-11,10.8729,8.8059,17.3024,48,426690
2025-11-12,11.0212,8.7013,13.3149,48,434067
2025-11-13,10.7182,8.4610,14.7107,48,428433
2025-11-14,10.8701,8.8797,13.6626,48,433803
2025-11-15,11.0098,8.0536,14.3617,48,436624
2025-11-16,11.4207,8.3195,14.7282,48,442251
2025-11-17,11.3292,9.5226,13.0677,48,432107
2025-11-18,9.7307,0.9474,13.2863,47,386210
2025-11-19,10.7286,8.5656,15.4336,48,429982
2025-11-20,10.0032,6.8787,13.3651,48,436344
2025-11-21,10.8506,8.5166,13.6110,48,418935
2025-11-22,11.8684,9.4683,13.7092,48,432203
2025-11-23,12.0130,9.0694,17.7701,48,444955
2025-11-24,11.4227,8.3692,13.7892,48,425808
2025-11-25,11.4625,8.4381,18.4735,48,431798
2025-11-26,11.4731,7.9585,14.3849,48,427452
2025-11-27,13.2410,9.6965,18.9997,48,425118
2025-11-28,11.4863,8.9032,13.5445,48,421502
2025-11-29,10.9017,5.1059,13.9636,48,422056
2025-11-30,11.5371,8.8172,14.1722,48,421477
2025-12-01,11.9362,9.5294,14.3711,48,418699
2025-12-02,10.7207,8.5458,13.9323,48,413985
2025-12-03,11.0968,8.5979,13.7351,48,418041
2025-12-04,11.1878,9.4971,13.0195,48,432437
2025-12-05,11.6524,9.4195,14.7756,48,430484
2025-12-06,12.1710,9.4009,13.9767,48,420330
2025-12-07,12.2442,8.6084,14.7728,48,431163
2025-12-08,11.9610,8.5726,15.2226,48,415946
2025-12-09,11.5009,8.7977,13.6482,48,433884
2025-12-10,10.6491,8.1571,13.0167,48,427626
2025-12-11,11.0697,8.8753,13.1674,48,419011
2025-12-12,12.1787,9.8469,14.1853,48,414983
2025-12-13,12.7385,10.7275,15.2651,48,432427
2025-12-14,11.5191,9.4936,13.5532,48,420436
2025-12-15,9.5654,3.5871,14.2216,48,432869
2025-12-16,10.3298,3.7486,13.5610,48,386705
2025-12-17,11.2911,8.4068,18.0325,42,331416
2025-12-18,9.9567,3.9226,12.9801,24,120308
2025-12-19,11.5011,9.8230,13.4983,48,421562
2025-12-20,11.7279,8.5412,14.2457,48,372997
2025-12-21,12.5912,6.7834,19.6321,48,410563
2025-12-22,11.7474,-4.5250,15.0838,48,390337
2025-12-23,12.0848,8.3354,14.5961,48,354075
2025-12-24,14.8564,11.5019,17.7459,48,430164
2025-12-25,19.7653,15.3660,24.3271,34,288272
2025-12-26,14.3234,8.4049,22.4111,11,7920
2025-12-27,13.2969,11.4171,15.7584,48,345636
2025-12-28,12.9800,11.2823,14.9627,47,434808
2025-12-29,12.7182,10.7134,14.6017,47,396251
2025-12-30,12.6707,9.8232,14.8046,47,402070
2025-12-31,15.5485,11.0332,20.8106,48,371609
2026-01-01,18.8783,11.3759,26.6413,48,398201
2026-01-02,13.4311,11.6772,16.1103,48,400555
2026-01-03,6.1387,1.3608,14.5458,39,321224
2026-01-04,9.7685,6.9129,11.6872,48,425901
2026-01-05,10.0103,7.5677,12.8175,43,338679
2026-01-06,10.0186,8.0772,12.1382,41,322041
2026-01-07,7.8152,1.5188,11.8700,48,370498
