timestamp,net_sentiment_percent,compound_score,category,total_posts
2025-12-26T18:31:45Z,8.4049,0.0840,neutral,5
2025-12-26T19:01:46Z,9.2241,0.0922,neutral,102
2025-12-26T19:31:46Z,15.6201,0.1562,neutral,181
2025-12-26T20:01:47Z,22.4111,0.2241,neutral,285
2025-12-26T20:31:48Z,14.2386,0.1424,neutral,388
2025-12-26T21:01:49Z,15.1056,0.1511,neutral,495
2025-12-26T21:31:53Z,14.8571,0.1486,neutral,1116
2025-12-26T22:01:54Z,16.5812,0.1658,neutral,1161
2025-12-26T22:31:54Z,13.0059,0.1301,neutral,1284
2025-12-26T23:01:55Z,15.5092,0.1551,neutral,1410
2025-12-26T23:31:56Z,12.6001,0.1260,neutral,1493
2025-12-27T00:01:56Z,12.4819,0.1248,neutral,1705
2025-12-27T00:31:57Z,12.1717,0.1217,neutral,1704
2025-12-27T01:01:57Z,13.5184,0.1352,neutral,1887
2025-12-27T01:31:59Z,14.4561,0.1446,neutral,2238
2025-12-27T02:02:03Z,13.6163,0.1362,neutral,2711
2025-12-27T02:32:05Z,11.9911,0.1199,neutral,3128
2025-12-27T03:02:14Z,13.7312,0.1373,neutral,4511
2025-12-27T03:32:18Z,13.1586,0.1316,neutral,5289
2025-12-27T04:02:31Z,12.7630,0.1276,neutral,7014
2025-12-27T04:32:40Z,14.3371,0.1434,neutral,8938
2025-12-27T05:02:46Z,12.9019,0.1290,neutral,9565
2025-12-27T05:32:45Z,12.9215,0.1292,neutral,9573
2025-12-27T06:02:47Z,13.6914,0.1369,neutral,9641
2025-12-27T06:32:48Z,13.9848,0.1398,neutral,9618
2025-12-27T07:02:45Z,13.3541,0.1335,neutral,9320
2025-12-27T07:32:04Z,11.4171,0.1142,neutral,2411
2025-12-27T08:02:45Z,13.1966,0.1320,neutral,9667
2025-12-27T08:32:55Z,13.0503,0.1305,neutral,9632
2025-12-27T09:02:51Z,12.9389,0.1294,neutral,9675
2025-12-27T09:31:48Z,12.0084,0.1201,neutral,479
2025-12-27T10:02:33Z,13.2237,0.1322,neutral,7320
2025-12-27T10:33:54Z,14.1021,0.1410,neutral,9424
2025-12-27T11:02:50Z,14.5525,0.1455,neutral,9459
2025-12-27T11:32:52Z,12.7444,0.1274,neutral,9578
2025-12-27T12:02:51Z,13.2682,0.1327,neutral,9643
2025-12-27T12:32:10Z,15.7584,0.1576,neutral,3452
2025-12-27T13:02:15Z,12.1707,0.1217,neutral,3496
2025-12-27T13:32:50Z,14.9981,0.1500,neutral,9665
2025-12-27T14:03:00Z,12.8912,0.1289,neutral,9479
2025-12-27T14:32:59Z,12.8752,0.1288,neutral,9673
